stock_code,company_name,announcement_date,listing_date,lock_length_months,issue_price,reference_price,discount_pct,shares_issued,amount_raised_cny,issue_objects,source
000523,红棉股份,2011-01-31,2011-03-04,12.0,10.4,5.783,-79.8375,50000000.0,520000000.0,向黄少彬、华宝信托有限责任公司、天津证大金牛股权投资基金合伙企业(有限合伙)和吴树容特定对象非公开发行,eastmoney
000925,众合科技,2011-01-27,2011-03-17,12.0,18.6,16.8748,-10.2235,22290000.0,414594000.0,向中融国际信托有限公司等6名特定机构投资者非公开发行,eastmoney
000932,华菱钢铁,2011-01-26,2011-03-17,36.0,5.57,2.0282,-174.6277,278000000.0,1548460000.0,向公司第一大股东华菱集团非公开发行,eastmoney
600187,国中水务,2011-01-25,2011-02-14,12.0,7.5,5.056,-48.3386,100000000.0,750000000.0,向新华基金管理有限公司等七名特定投资者非公开发行,eastmoney
600354,敦煌种业,2011-01-19,2011-02-11,24.0,25.0,15.5581,-60.688,17580000.0,439500000.0,"向股东金塔县供销合作联社作为公司定向配售,向江西国际信托股份有限公司、李萍、江苏瑞华投资发展有限公司、海富通基金管理有限公司特定投资者非公开发行",eastmoney
002068,黑猫股份,2011-01-17,2011-02-16,12.0,9.16,5.2675,-73.8965,49900000.0,457084000.0,向方正东亚信托有限责任公司等5名特定投资者非公开发行,eastmoney
600487,亨通光电,2011-01-17,2011-01-21,36.0,14.62,5.3889,-171.2984,40962505.0,598871823.1,向亨通集团有限公司及崔根海等六位自然人定价发行,eastmoney
600381,*ST春天,2011-01-12,2011-01-17,,3.41,28.2271,87.9194,146945796.0,501085164.36,向控股股东西宁市国新投资控股有限公司及张邻等2名特定投资者非公开发行,eastmoney
600803,新奥股份,2011-01-05,2011-01-07,53.04,7.31,9.4698,22.8072,75388977.0,551093421.87,向关联方新奥控股投资有限公司非公开发行,eastmoney
002199,*ST东晶,2010-12-30,2011-01-18,12.0,14.2,13.0569,-8.7548,21478873.0,304999997.0,向山西信托有限责任公司等10名特定投资者非公开发行,eastmoney
002172,澳洋健康,2010-12-29,2011-01-06,12.0,8.1,10.1385,20.1065,34220977.0,277189914.0,向上海成丰鼎泰股权投资合伙企业(有限合伙)等6名特定投资者非公开发行,eastmoney
002259,升达林业,2010-12-29,2011-01-13,12.0,5.67,4.4677,-26.9109,56400000.0,319788000.0,向山西信托有限责任公司等9名特定投资者非公开发行,eastmoney
002271,东方雨虹,2010-12-28,2011-01-25,12.0,35.0,2.8205,-1140.9147,13480000.0,471800000.0,向中信证券股份有限公司等4名特定投资者非公开发行,eastmoney
600461,洪城环境,2010-12-24,2011-01-05,12.0,14.5,4.2473,-241.3934,80000000.0,1160000000.0,"向股东中信证券股份有限公司,华安证券有限责任公司及百年化妆护理品有限公司等7名特定投资者非公开发行",eastmoney
002093,国脉科技,2010-12-24,2011-01-14,12.0,15.5,8.1913,-89.2252,32000000.0,496000000.0,向江海证券有限公司等7名特定投资者非公开发行,eastmoney
000528,柳工,2010-12-24,2011-01-24,24.0,30.0,14.0171,-114.0243,100000000.0,3000000000.0,"向控股股东广西柳工集团有限公司定向配售,及中邮创业基金管理有限公司等7名特定投资者非公开发行",eastmoney
002039,黔源电力,2010-12-23,2011-01-12,24.0,17.05,8.8189,-93.3348,63343108.0,1079999991.0,"向公司实际控制人中国华电集团公司、关联方贵州乌江水电开发有限责任公司定向配售,向易方达基金管理有限公司等7名特定投资者非公开发行",eastmoney
002205,国统股份,2010-12-16,2011-01-11,12.0,27.0,18.9892,-42.1861,16152018.0,436104486.0,向嘉实基金管理有限公司等6名特定投资者非公开发行,eastmoney
000792,盐湖股份,,2011-03-28,43.5,73.25,,,1057798607.0,77483747962.75,截至换股股权登记日(2011年3月15日)下午3:00收市后登记在册的盐湖集团全体股东,eastmoney
601975,招商南油,,2011-03-03,24.0,5.63,,,275000000.0,1548250000.0,"向控股股东南京长江油运公司定向配售,向华泰证券股份有限公司、太平洋资产管理有限责任公司非公开发行",eastmoney
600827,百联股份,,2011-08-31,,15.57,,,947984500.0,14760118665.0,于换股日登记在册的百联股份的全体股东。向非控股股东百联集团非公开发行,eastmoney
